id	birth_2008	death_2008	gdppps1999	gdppps2008	pop1999	pop2008
DE22A	986	1293	2260	3056	116957	118800
DE22B	802	906	1360	2018	93640	97810
DE22C	765	827	2240	3642	89478	91481
DE231	354	601	1459	1958	43100	44216
DE232	1243	1288	6429	9460	124852	132495
DE233	336	543	1542	1981	43132	42445
DE234	822	1067	1529	2140	107755	107069
DE235	1018	1369	2422	3523	130684	129605
DE236	1017	1209	2563	3765	124020	128488
DE237	708	1045	1526	2079	100682	99007
DE238	1533	1552	2272	3529	172126	182721
DE239	1056	1571	2762	3775	142191	144089
DE23A	557	889	1381	1833	80579	76549
DE241	604	868	2824	3756	69023	69884
DE242	569	825	2754	3445	73708	73097
DE243	343	558	1681	2412	43376	41283
DE244	352	634	1486	1663	51442	47744
DE245	1230	1306	1864	2641	140543	144949
DE246	817	1179	1690	1961	108724	107649
DE247	658	1001	1807	2063	92243	90244
DE248	927	1040	1536	2136	111473	113389
DE249	655	1453	1970	2642	109958	103686
DE24A	456	888	1510	1995	76227	72289
DE24B	536	885	1585	2042	78742	76153
DE24C	544	781	1503	1948	70792	69045
DE24D	486	1062	1641	2020	87539	79433
DE251	345	510	1400	1839	39877	40330
DE252	987	1003	4277	6276	100775	104650
DE253	1009	1205	3459	4417	109123	114130
DE254	4347	5344	16779	22410	487145	503110
DE255	327	401	891	1101	37700	38753
DE256	1433	1688	3198	4530	181224	182293
DE257	1079	1073	2260	3212	127324	130873
DE258	912	984	1557	2337	113683	114483
DE259	1313	1812	2823	4154	166812	167444
DE25A	787	1076	1675	2195	97602	99106
DE25B	968	1157	1994	2707	122455	125240
DE25C	731	1053	1752	2211	94815	93711
DE261	631	731	2512	3596	66997	68646
DE262	452	655	2552	3918	55091	53798
DE263	1000	1399	4658	5649	125588	135212
DE264	1406	1618	3130	4232	172949	174168
DE265	710	1197	2088	2524	109566	106628
DE266	629	842	1673	2215	86989	84676
DE267	615	926	1619	2016	88059	86477
DE268	676	836	1681	2400	88482	89293
DE269	1012	1252	2401	3319	130164	130303
DE26A	936	1370	2744	3664	131924	130148
DE26B	844	1004	1400	1926	115654	114657
DE26C	1305	1248	2006	3266	157936	160761
DE271	2363	2836	8565	10905	254610	262992
