id	emp2008	act2008	unemp2008	birth_2008	death_2008	gdppps1999	gdppps2008	pop1999	pop2008
TRA1	345.5	364.6	19.1	19415	NA	4546	7339	1341412.07	1075088
TRA2	314.2	330	15.8	24671	NA	2697	5105	1149064.88	1137671
TRB1	413.1	471.3	58.1	28521	NA	7400	11064	1749685.83	1598897
TRB2	364.1	416.6	52.6	51740	NA	4169	8412	1906801.25	1959535
TRC1	529.1	622.4	93.4	60004	NA	7930	13099	1982348.41	2261242
TRC2	463.7	531.7	68	87039	NA	9122	14023	2725011.27	2983813
TRC3	264	313.5	49.5	52019	NA	4718	9230	1737193.35	1925794
UKC1	515.8	560	44.2	14113	12038	17988	23610	1148500	1161014
UKC2	635.6	685.7	50.1	16104	14995	23774	33718	1407100	1404528
UKD1	245.8	253.6	7.9	5118	5460	8066	11162	488600	496329
UKD2	486.6	512.6	26	11897	9892	23055	31408	981200	1001908
UKD3	1186.4	1284.7	98.3	36830	24860	49503	66264	2518700	2572720
UKD4	672.4	711.1	38.7	18085	15366	24437	32827	1411800	1446394
UKD5	559.5	614.5	55	16237	14674	20251	27593	1382400	1351545
UKE1	436.2	459.7	23.4	10591	9367	14736	20191	875800	912564
UKE2	400.7	412.3	11.6	8289	7786	13813	20405	736800	785047
UKE3	563	613.5	50.5	16498	13073	19673	28183	1271800	1303765
UKE4	1048.4	1120.7	72.3	30975	20025	42574	56363	2072700	2198234
UKF1	989.1	1044.6	55.5	24915	20283	36920	49695	1976300	2064467
UKF2	815.6	867.7	52.1	21586	14084	31931	47007	1536900	1655144
UKF3	353.3	376.8	23.5	7691	7616	9719	14278	629400	693594
UKG1	628.1	655.9	27.8	14144	12447	23098	32163	1207200	1264194
UKG2	748.5	783.3	34.7	18022	15033	24362	33173	1480100	1515538
UKG3	1094.6	1207.9	113.3	39560	24379	52911	65794	2584400	2613662
UKH1	1152.2	1206.8	54.6	27639	22441	40486	61410	2151800	2316066
UKH2	842.8	884.9	42.1	23408	13860	37290	52792	1576500	1672612
UKH3	815.5	859.3	43.8	20691	16048	27451	40729	1592100	1694357
UKI1	1527.7	1657.4	129.7	52744	16603	151038	259406	2725000	3016734
UKI2	2231	2386.6	155.6	74907	33384	90069	117045	4384700	4618552
UKJ1	1163.5	1212.8	49.3	30579	16238	59761	84502	2075400	2190253
UKJ2	1319.1	1379.6	60.5	31051	26906	56339	77428	2527500	2643999
UKJ3	938.6	973.4	34.8	21879	16948	35303	53499	1761400	1849186
UKJ4	786.1	829.9	43.8	20514	15777	26750	38332	1557600	1648570
UKK1	1172.1	1217.8	45.7	28418	20641	50442	71769	2143700	2297116
UKK2	599.6	625.8	26.2	13072	14125	20639	29628	1173300	1233095
UKK3	238.2	252.8	14.6	5442	5909	5909	9969	490300	530035
UKK4	546	567.7	21.7	11810	12413	17178	24780	1057900	1134196
UKL1	818.9	872.6	53.8	21868	21364	25081	33959	1852900	1890979
UKL2	521.6	552.7	31.1	13782	10384	21984	29698	1047100	1092134
UKM2	981	1030.6	49.6	23275	20254	38655	57506	1921618.59	1972075
UKM3	1011.9	1069.9	58	26619	26083	43097	59806	2313411.39	2289224
UKM5	245.1	252.7	7.6	5367	4392	12502	17709	445253.33	450139
UKM6	289.9	298.8	8.9	4780	4971	6341	9783	438916.69	444860
UKN0	783.4	819.7	36.3	25631	14907	27972	40318	1691824	1767300
